ID	ATP7A	FDX1	LIAS	LIPT1	DLD	MTF1	CDKN2A	Cluster
GSM2449708_Treat	7.42021	7.302535	6.554851	7.636044	7.871434	7.729709	4.650493	C2
GSM2449709_Treat	7.455584	6.979966	6.896596	7.584138	7.98973	7.906543	4.877178	C2
GSM2449710_Treat	7.594299	6.824661	6.41188	7.738891	7.665532	7.69485	4.632063	C2
GSM2449711_Treat	7.339447	6.953839	6.399621	7.457141	7.756337	8.070416	4.605226	C2
GSM2449712_Treat	7.755006	6.619073	6.285443	7.120319	7.598231	8.247631	4.507356	C1
GSM2449713_Treat	7.256734	6.886628	6.611778	7.154412	7.588326	7.945436	4.645613	C1
GSM2449714_Treat	7.673801	6.835756	6.436872	7.356197	7.883793	8.229184	4.585213	C1
GSM2449715_Treat	7.107017	6.893892	6.677975	7.194634	7.546994	7.96622	4.840526	C1
GSM2449716_Treat	7.447188	6.707811	6.637131	7.021664	7.863524	8.199535	4.641158	C1
GSM2449717_Treat	7.201385	6.446281	6.121934	6.962325	7.48277	8.591117	4.585029	C1
GSM2449718_Treat	7.287304	7.263622	6.59647	8.069807	7.847969	7.573986	4.607643	C2
GSM2449719_Treat	7.633402	7.152186	6.781746	7.5457	7.927087	8.047599	4.64307	C2
GSM2449720_Treat	7.5632	6.828539	6.58344	7.124575	7.935889	8.180947	4.558255	C1
GSM2449721_Treat	7.689574	6.763206	6.506269	6.905172	7.607644	8.393074	4.727829	C1
GSM2449722_Treat	7.275974	6.826024	6.482177	7.504323	7.598624	7.936372	4.575942	C2
GSM2449723_Treat	7.457572	6.462776	6.4695	7.134875	7.460083	8.639044	4.747985	C1
GSM2449724_Treat	7.577343	7.079141	6.646745	7.811006	8.045581	7.832809	4.584642	C2
GSM2449725_Treat	7.27367	6.810825	6.431034	7.138854	7.908066	8.127667	4.496037	C1
GSM2449726_Treat	7.433749	7.062291	6.622367	7.52055	7.831487	7.860701	4.732669	C2
GSM2449727_Treat	7.640465	6.887686	6.592248	7.284326	7.910404	8.270597	4.75817	C1
GSM2449728_Treat	7.812838	6.74711	6.531634	7.173735	7.790023	8.342458	4.538082	C1
GSM2449729_Treat	7.656856	6.69896	6.226464	7.331934	7.927087	8.210016	4.564856	C1
GSM2449730_Treat	7.199121	7.274422	6.686941	7.726232	7.745535	7.581954	4.794193	C2
GSM2449731_Treat	7.727975	6.662971	6.537421	7.126404	7.557802	8.186458	4.634404	C1
GSM2449732_Treat	8.169413	6.781052	6.475554	7.326383	8.189493	8.248863	4.72293	C1
GSM2449733_Treat	7.261728	6.861649	6.455859	7.3658	7.655566	7.932605	4.517401	C2
GSM2449734_Treat	7.628661	6.452599	6.40904	6.625952	7.39151	8.323213	4.789079	C1
GSM2449735_Treat	7.782347	6.72541	6.55452	7.27367	7.802968	7.996738	4.555551	C1
GSM2449736_Treat	7.684034	6.795603	6.665288	7.199862	7.67631	7.943586	4.631265	C1
GSM2449737_Treat	7.138144	7.072648	6.732576	7.55987	7.936372	7.761752	4.764143	C2
GSM2449738_Treat	7.875153	6.909748	6.256183	7.570976	7.945923	8.079174	4.826586	C2
GSM2449739_Treat	7.434541	6.986763	6.503703	7.517957	7.876168	7.979529	4.691611	C2
GSM2449740_Treat	7.040614	7.06383	6.458997	7.65601	7.504725	7.95577	4.619837	C2
GSM2449741_Treat	6.976207	6.827087	6.761502	7.515012	7.566483	8.320074	4.499004	C1
GSM2449742_Treat	7.64912	6.473645	6.121934	7.269251	7.637346	8.318802	4.703611	C1
GSM2449743_Treat	7.445526	6.775525	6.417755	7.226693	7.617404	8.345016	4.783022	C1
GSM2449744_Treat	7.648296	6.807504	6.614821	7.49434	7.714278	7.996257	4.502179	C2
GSM2449745_Treat	7.042766	6.917695	6.518563	7.51424	7.526707	8.036089	4.718607	C2
GSM2449746_Treat	7.1533	6.537421	6.379388	7.32752	7.583697	8.245151	4.884769	C1
GSM2449747_Treat	7.100847	6.682901	6.396532	6.972668	7.561991	8.344391	4.77649	C1
GSM2449748_Treat	7.023527	7.145902	6.395919	7.719054	7.484026	7.811006	4.816507	C2
GSM2449749_Treat	7.310164	6.949137	6.398678	7.1016	7.608045	8.016251	4.636499	C1
GSM2449750_Treat	7.207265	6.878829	6.222013	7.028362	7.935402	8.222527	4.638047	C1
GSM2449751_Treat	7.274812	6.702364	6.772065	7.234029	7.48568	7.94311	4.840315	C1
GSM2449752_Treat	7.362322	6.681602	6.404949	7.368188	7.741116	8.26883	4.919174	C1
GSM2449753_Treat	7.727106	6.932527	6.388027	7.379373	7.665532	7.797713	4.65389	C2
GSM2449754_Treat	7.654719	6.971576	6.715446	7.66993	7.830553	7.847969	4.464632	C2
GSM2449755_Treat	7.421364	6.92903	6.67859	7.719912	7.766659	7.749947	4.679144	C2
GSM2449756_Treat	7.445969	6.576202	6.413424	7.042038	7.503928	8.41383	4.677628	C1
GSM2449757_Treat	7.51126	6.832293	6.584729	7.234382	7.657284	8.1834	4.458332	C1
GSM2449758_Treat	7.529122	6.809399	6.757009	7.54321	7.707293	7.995713	4.777939	C2
GSM2449759_Treat	7.484416	6.747809	6.776198	7.509149	7.842454	7.882319	4.704835	C2
GSM2449760_Treat	7.585423	6.706428	6.400543	7.296873	7.760867	8.29716	4.789286	C1
GSM2449761_Treat	7.486507	6.890864	6.577837	7.515012	7.925621	7.939238	4.580541	C2
GSM2449762_Treat	7.1689	6.678292	6.389587	6.918755	7.532058	8.162313	4.693597	C1
GSM2449763_Treat	7.915151	7.040185	6.592868	7.425683	7.829177	8.089984	4.388295	C2
GSM2449764_Treat	7.298369	6.774849	6.680273	7.237355	7.679682	8.190629	4.737696	C1
GSM2449765_Treat	7.510827	7.017003	6.777244	7.456415	7.875655	7.870523	4.5941	C2
GSM2449766_Treat	7.559435	6.785319	6.507195	7.374035	7.895647	8.124795	4.703016	C1
GSM2449767_Treat	7.300985	6.686941	6.742323	6.977228	7.666813	8.203004	4.753472	C1
GSM2449768_Treat	7.963704	7.073359	6.698277	7.656421	8.191232	7.849755	4.528021	C2
GSM2449769_Treat	7.667681	6.72166	6.486393	7.354314	7.755456	8.214734	4.513617	C1
GSM2449770_Treat	7.716898	6.937403	6.630334	7.537347	7.813282	7.81868	4.445983	C2
GSM2449771_Treat	7.352404	6.845591	6.7316	7.452406	7.58061	7.815997	4.701362	C2
GSM2449772_Treat	7.515468	6.700992	6.450685	6.814137	7.721736	8.402661	4.533731	C1
GSM2449773_Treat	7.673801	6.829882	6.733234	7.553717	7.903642	7.96018	4.779423	C2
GSM2449774_Treat	6.757712	6.449125	6.737315	6.824987	7.391903	8.392469	4.617013	C1
GSM2449775_Treat	7.10648	6.610747	6.79424	7.283604	7.519643	8.184648	4.612794	C1
GSM2449776_Treat	8.059749	6.680625	6.543996	6.940199	7.95577	8.248231	4.470789	C1
GSM2449777_Treat	7.490576	6.823693	6.661628	7.217293	7.719054	8.153756	4.644437	C1
GSM2449778_Treat	7.761752	7.127514	6.753649	7.80962	8.015744	7.880838	4.622341	C2
GSM2449779_Treat	7.706412	7.052111	6.614493	7.581496	7.92805	8.064549	4.477246	C2
GSM2449780_Treat	7.59043	6.827427	6.865657	7.507081	7.873767	7.738891	4.71904	C2
GSM2449781_Treat	7.698882	6.736634	6.41311	7.231918	7.701574	8.295285	4.587246	C1
GSM2449782_Treat	6.974106	7.250696	6.946687	7.997258	7.852106	7.663815	4.612603	C2
GSM2449783_Treat	7.667269	6.265246	6.327162	6.748109	7.743269	8.527803	4.623868	C1
GSM2449784_Treat	7.608923	6.758425	6.759084	7.302174	7.677597	8.299088	4.570634	C1
GSM2449785_Treat	7.623368	6.424406	6.641202	7.246775	7.523469	7.983585	4.802811	C1
GSM2449786_Treat	7.425256	6.915896	6.605417	7.241076	7.890278	8.106287	4.373464	C1
GSM2449789_Treat	7.820595	6.694856	6.356978	7.020252	7.926096	8.345016	4.706061	C1
